date,latitude,longitude,state,district,pollutant,value,qa_value,satellite_source
2023-02-01,28.647,77.315,Delhi,Delhi,CO,0.062000000000000006,0.75,Sentinel-5P TROPOMI L3 CO
2023-02-01,19.055,72.842,Maharashtra,Mumbai,CO,0.0626,0.75,Sentinel-5P TROPOMI L3 CO
2023-02-01,13.035,77.598,Karnataka,Bengaluru,CO,0.0626,0.75,Sentinel-5P TROPOMI L3 CO
2023-02-01,22.544,88.342,West Bengal,Kolkata,CO,0.06080000000000001,0.75,Sentinel-5P TROPOMI L3 CO
2023-02-01,13.165,80.263,Tamil Nadu,Chennai,CO,0.0632,0.75,Sentinel-5P TROPOMI L3 CO
2023-02-01,17.456,78.441,Telangana,Hyderabad,CO,0.0632,0.75,Sentinel-5P TROPOMI L3 CO
2023-02-01,25.611,85.093,Bihar,Patna,CO,0.06860000000000001,0.75,Sentinel-5P TROPOMI L3 CO
2023-02-01,18.531,73.849,Maharashtra,Pune,CO,0.0626,0.75,Sentinel-5P TROPOMI L3 CO
2023-02-01,30.733,76.789,Chandigarh,Chandigarh,CO,0.06860000000000001,0.75,Sentinel-5P TROPOMI L3 CO
2023-02-01,26.847,80.947,Uttar Pradesh,Lucknow,CO,0.07100000000000001,0.75,Sentinel-5P TROPOMI L3 CO
2023-02-01,22.719,75.857,Madhya Pradesh,Indore,CO,0.0632,0.75,Sentinel-5P TROPOMI L3 CO
2023-02-01,23.259,77.413,Madhya Pradesh,Bhopal,CO,0.068,0.75,Sentinel-5P TROPOMI L3 CO
2023-02-02,28.647,77.315,Delhi,Delhi,CO,0.0632,0.775,Sentinel-5P TROPOMI L3 CO
2023-02-02,19.055,72.842,Maharashtra,Mumbai,CO,0.0638,0.775,Sentinel-5P TROPOMI L3 CO
2023-02-02,13.035,77.598,Karnataka,Bengaluru,CO,0.0638,0.775,Sentinel-5P TROPOMI L3 CO
2023-02-02,22.544,88.342,West Bengal,Kolkata,CO,0.062,0.775,Sentinel-5P TROPOMI L3 CO
2023-02-02,13.165,80.263,Tamil Nadu,Chennai,CO,0.0644,0.775,Sentinel-5P TROPOMI L3 CO
2023-02-02,17.456,78.441,Telangana,Hyderabad,CO,0.0644,0.775,Sentinel-5P TROPOMI L3 CO
2023-02-02,25.611,85.093,Bihar,Patna,CO,0.0698,0.775,Sentinel-5P TROPOMI L3 CO
2023-02-02,18.531,73.849,Maharashtra,Pune,CO,0.0638,0.775,Sentinel-5P TROPOMI L3 CO
2023-02-02,30.733,76.789,Chandigarh,Chandigarh,CO,0.0698,0.775,Sentinel-5P TROPOMI L3 CO
2023-02-02,26.847,80.947,Uttar Pradesh,Lucknow,CO,0.0722,0.775,Sentinel-5P TROPOMI L3 CO
2023-02-02,22.719,75.857,Madhya Pradesh,Indore,CO,0.0644,0.775,Sentinel-5P TROPOMI L3 CO
2023-02-02,23.259,77.413,Madhya Pradesh,Bhopal,CO,0.0692,0.775,Sentinel-5P TROPOMI L3 CO
2023-02-03,28.647,77.315,Delhi,Delhi,CO,0.0644,0.8,Sentinel-5P TROPOMI L3 CO
2023-02-03,19.055,72.842,Maharashtra,Mumbai,CO,0.06499999999999999,0.8,Sentinel-5P TROPOMI L3 CO
2023-02-03,13.035,77.598,Karnataka,Bengaluru,CO,0.06499999999999999,0.8,Sentinel-5P TROPOMI L3 CO
2023-02-03,22.544,88.342,West Bengal,Kolkata,CO,0.06319999999999999,0.8,Sentinel-5P TROPOMI L3 CO
2023-02-03,13.165,80.263,Tamil Nadu,Chennai,CO,0.06559999999999999,0.8,Sentinel-5P TROPOMI L3 CO
2023-02-03,17.456,78.441,Telangana,Hyderabad,CO,0.06559999999999999,0.8,Sentinel-5P TROPOMI L3 CO
2023-02-03,25.611,85.093,Bihar,Patna,CO,0.071,0.8,Sentinel-5P TROPOMI L3 CO
2023-02-03,18.531,73.849,Maharashtra,Pune,CO,0.06499999999999999,0.8,Sentinel-5P TROPOMI L3 CO
2023-02-03,30.733,76.789,Chandigarh,Chandigarh,CO,0.071,0.8,Sentinel-5P TROPOMI L3 CO
2023-02-03,26.847,80.947,Uttar Pradesh,Lucknow,CO,0.07339999999999999,0.8,Sentinel-5P TROPOMI L3 CO
2023-02-03,22.719,75.857,Madhya Pradesh,Indore,CO,0.06559999999999999,0.8,Sentinel-5P TROPOMI L3 CO
2023-02-03,23.259,77.413,Madhya Pradesh,Bhopal,CO,0.07039999999999999,0.8,Sentinel-5P TROPOMI L3 CO
2023-02-04,28.647,77.315,Delhi,Delhi,CO,0.0656,0.8250000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-04,19.055,72.842,Maharashtra,Mumbai,CO,0.0662,0.8250000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-04,13.035,77.598,Karnataka,Bengaluru,CO,0.0662,0.8250000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-04,22.544,88.342,West Bengal,Kolkata,CO,0.0644,0.8250000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-04,13.165,80.263,Tamil Nadu,Chennai,CO,0.0668,0.8250000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-04,17.456,78.441,Telangana,Hyderabad,CO,0.0668,0.8250000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-04,25.611,85.093,Bihar,Patna,CO,0.0722,0.8250000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-04,18.531,73.849,Maharashtra,Pune,CO,0.0662,0.8250000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-04,30.733,76.789,Chandigarh,Chandigarh,CO,0.0722,0.8250000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-04,26.847,80.947,Uttar Pradesh,Lucknow,CO,0.0746,0.8250000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-04,22.719,75.857,Madhya Pradesh,Indore,CO,0.0668,0.8250000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-04,23.259,77.413,Madhya Pradesh,Bhopal,CO,0.0716,0.8250000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-05,28.647,77.315,Delhi,Delhi,CO,0.06680000000000001,0.8500000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-05,19.055,72.842,Maharashtra,Mumbai,CO,0.0674,0.8500000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-05,13.035,77.598,Karnataka,Bengaluru,CO,0.0674,0.8500000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-05,22.544,88.342,West Bengal,Kolkata,CO,0.0656,0.8500000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-05,13.165,80.263,Tamil Nadu,Chennai,CO,0.068,0.8500000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-05,17.456,78.441,Telangana,Hyderabad,CO,0.068,0.8500000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-05,25.611,85.093,Bihar,Patna,CO,0.0734,0.8500000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-05,18.531,73.849,Maharashtra,Pune,CO,0.0674,0.8500000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-05,30.733,76.789,Chandigarh,Chandigarh,CO,0.0734,0.8500000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-05,26.847,80.947,Uttar Pradesh,Lucknow,CO,0.0758,0.8500000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-05,22.719,75.857,Madhya Pradesh,Indore,CO,0.068,0.8500000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-05,23.259,77.413,Madhya Pradesh,Bhopal,CO,0.0728,0.8500000000000001,Sentinel-5P TROPOMI L3 CO
2023-02-06,28.647,77.315,Delhi,Delhi,CO,0.068,0.875,Sentinel-5P TROPOMI L3 CO
2023-02-06,19.055,72.842,Maharashtra,Mumbai,CO,0.0686,0.875,Sentinel-5P TROPOMI L3 CO
2023-02-06,13.035,77.598,Karnataka,Bengaluru,CO,0.0686,0.875,Sentinel-5P TROPOMI L3 CO
2023-02-06,22.544,88.342,West Bengal,Kolkata,CO,0.0668,0.875,Sentinel-5P TROPOMI L3 CO
2023-02-06,13.165,80.263,Tamil Nadu,Chennai,CO,0.0692,0.875,Sentinel-5P TROPOMI L3 CO
2023-02-06,17.456,78.441,Telangana,Hyderabad,CO,0.0692,0.875,Sentinel-5P TROPOMI L3 CO
2023-02-06,25.611,85.093,Bihar,Patna,CO,0.0746,0.875,Sentinel-5P TROPOMI L3 CO
2023-02-06,18.531,73.849,Maharashtra,Pune,CO,0.0686,0.875,Sentinel-5P TROPOMI L3 CO
2023-02-06,30.733,76.789,Chandigarh,Chandigarh,CO,0.0746,0.875,Sentinel-5P TROPOMI L3 CO
2023-02-06,26.847,80.947,Uttar Pradesh,Lucknow,CO,0.077,0.875,Sentinel-5P TROPOMI L3 CO
2023-02-06,22.719,75.857,Madhya Pradesh,Indore,CO,0.0692,0.875,Sentinel-5P TROPOMI L3 CO
2023-02-06,23.259,77.413,Madhya Pradesh,Bhopal,CO,0.074,0.875,Sentinel-5P TROPOMI L3 CO
2023-02-07,28.647,77.315,Delhi,Delhi,CO,0.06920000000000001,0.4,Sentinel-5P TROPOMI L3 CO
2023-02-07,19.055,72.842,Maharashtra,Mumbai,CO,0.0698,0.4,Sentinel-5P TROPOMI L3 CO
2023-02-07,13.035,77.598,Karnataka,Bengaluru,CO,0.0698,0.4,Sentinel-5P TROPOMI L3 CO
2023-02-07,22.544,88.342,West Bengal,Kolkata,CO,0.068,0.4,Sentinel-5P TROPOMI L3 CO
2023-02-07,13.165,80.263,Tamil Nadu,Chennai,CO,0.0704,0.4,Sentinel-5P TROPOMI L3 CO
2023-02-07,17.456,78.441,Telangana,Hyderabad,CO,0.0704,0.4,Sentinel-5P TROPOMI L3 CO
2023-02-07,25.611,85.093,Bihar,Patna,CO,0.0758,0.4,Sentinel-5P TROPOMI L3 CO
2023-02-07,18.531,73.849,Maharashtra,Pune,CO,0.0698,0.4,Sentinel-5P TROPOMI L3 CO
2023-02-07,30.733,76.789,Chandigarh,Chandigarh,CO,0.0758,0.4,Sentinel-5P TROPOMI L3 CO
2023-02-07,26.847,80.947,Uttar Pradesh,Lucknow,CO,0.0782,0.4,Sentinel-5P TROPOMI L3 CO
2023-02-07,22.719,75.857,Madhya Pradesh,Indore,CO,0.0704,0.4,Sentinel-5P TROPOMI L3 CO
2023-02-07,23.259,77.413,Madhya Pradesh,Bhopal,CO,0.0752,0.4,Sentinel-5P TROPOMI L3 CO
2023-02-08,28.647,77.315,Delhi,Delhi,CO,0.0704,0.42500000000000004,Sentinel-5P TROPOMI L3 CO
2023-02-08,19.055,72.842,Maharashtra,Mumbai,CO,0.071,0.42500000000000004,Sentinel-5P TROPOMI L3 CO
2023-02-08,13.035,77.598,Karnataka,Bengaluru,CO,0.071,0.42500000000000004,Sentinel-5P TROPOMI L3 CO
2023-02-08,22.544,88.342,West Bengal,Kolkata,CO,0.0692,0.42500000000000004,Sentinel-5P TROPOMI L3 CO
2023-02-08,13.165,80.263,Tamil Nadu,Chennai,CO,0.0716,0.42500000000000004,Sentinel-5P TROPOMI L3 CO
2023-02-08,17.456,78.441,Telangana,Hyderabad,CO,0.0716,0.42500000000000004,Sentinel-5P TROPOMI L3 CO
