date,latitude,longitude,state,district,pollutant,value,qa_value,satellite_source
2023-10-01,28.647,77.315,Delhi,Delhi,O3,0.1472,0.7250000000000001,Sentinel-5P TROPOMI L3 O3
2023-10-01,19.055,72.842,Maharashtra,Mumbai,O3,0.1476,0.7250000000000001,Sentinel-5P TROPOMI L3 O3
2023-10-01,13.035,77.598,Karnataka,Bengaluru,O3,0.1476,0.7250000000000001,Sentinel-5P TROPOMI L3 O3
2023-10-01,22.544,88.342,West Bengal,Kolkata,O3,0.1464,0.7250000000000001,Sentinel-5P TROPOMI L3 O3
2023-10-01,13.165,80.263,Tamil Nadu,Chennai,O3,0.148,0.7250000000000001,Sentinel-5P TROPOMI L3 O3
2023-10-01,17.456,78.441,Telangana,Hyderabad,O3,0.148,0.7250000000000001,Sentinel-5P TROPOMI L3 O3
2023-10-01,25.611,85.093,Bihar,Patna,O3,0.1516,0.7250000000000001,Sentinel-5P TROPOMI L3 O3
2023-10-01,18.531,73.849,Maharashtra,Pune,O3,0.1476,0.7250000000000001,Sentinel-5P TROPOMI L3 O3
2023-10-01,30.733,76.789,Chandigarh,Chandigarh,O3,0.1516,0.7250000000000001,Sentinel-5P TROPOMI L3 O3
2023-10-01,26.847,80.947,Uttar Pradesh,Lucknow,O3,0.1532,0.7250000000000001,Sentinel-5P TROPOMI L3 O3
2023-10-01,22.719,75.857,Madhya Pradesh,Indore,O3,0.148,0.7250000000000001,Sentinel-5P TROPOMI L3 O3
2023-10-01,23.259,77.413,Madhya Pradesh,Bhopal,O3,0.1512,0.7250000000000001,Sentinel-5P TROPOMI L3 O3
2023-10-02,28.647,77.315,Delhi,Delhi,O3,0.148,0.75,Sentinel-5P TROPOMI L3 O3
2023-10-02,19.055,72.842,Maharashtra,Mumbai,O3,0.1484,0.75,Sentinel-5P TROPOMI L3 O3
2023-10-02,13.035,77.598,Karnataka,Bengaluru,O3,0.1484,0.75,Sentinel-5P TROPOMI L3 O3
2023-10-02,22.544,88.342,West Bengal,Kolkata,O3,0.1472,0.75,Sentinel-5P TROPOMI L3 O3
2023-10-02,13.165,80.263,Tamil Nadu,Chennai,O3,0.1488,0.75,Sentinel-5P TROPOMI L3 O3
2023-10-02,17.456,78.441,Telangana,Hyderabad,O3,0.1488,0.75,Sentinel-5P TROPOMI L3 O3
2023-10-02,25.611,85.093,Bihar,Patna,O3,0.1524,0.75,Sentinel-5P TROPOMI L3 O3
2023-10-02,18.531,73.849,Maharashtra,Pune,O3,0.1484,0.75,Sentinel-5P TROPOMI L3 O3
2023-10-02,30.733,76.789,Chandigarh,Chandigarh,O3,0.1524,0.75,Sentinel-5P TROPOMI L3 O3
2023-10-02,26.847,80.947,Uttar Pradesh,Lucknow,O3,0.154,0.75,Sentinel-5P TROPOMI L3 O3
2023-10-02,22.719,75.857,Madhya Pradesh,Indore,O3,0.1488,0.75,Sentinel-5P TROPOMI L3 O3
2023-10-02,23.259,77.413,Madhya Pradesh,Bhopal,O3,0.152,0.75,Sentinel-5P TROPOMI L3 O3
2023-10-03,28.647,77.315,Delhi,Delhi,O3,0.1488,0.775,Sentinel-5P TROPOMI L3 O3
2023-10-03,19.055,72.842,Maharashtra,Mumbai,O3,0.1492,0.775,Sentinel-5P TROPOMI L3 O3
2023-10-03,13.035,77.598,Karnataka,Bengaluru,O3,0.1492,0.775,Sentinel-5P TROPOMI L3 O3
2023-10-03,22.544,88.342,West Bengal,Kolkata,O3,0.148,0.775,Sentinel-5P TROPOMI L3 O3
2023-10-03,13.165,80.263,Tamil Nadu,Chennai,O3,0.14959999999999998,0.775,Sentinel-5P TROPOMI L3 O3
2023-10-03,17.456,78.441,Telangana,Hyderabad,O3,0.14959999999999998,0.775,Sentinel-5P TROPOMI L3 O3
2023-10-03,25.611,85.093,Bihar,Patna,O3,0.1532,0.775,Sentinel-5P TROPOMI L3 O3
2023-10-03,18.531,73.849,Maharashtra,Pune,O3,0.1492,0.775,Sentinel-5P TROPOMI L3 O3
2023-10-03,30.733,76.789,Chandigarh,Chandigarh,O3,0.1532,0.775,Sentinel-5P TROPOMI L3 O3
2023-10-03,26.847,80.947,Uttar Pradesh,Lucknow,O3,0.1548,0.775,Sentinel-5P TROPOMI L3 O3
2023-10-03,22.719,75.857,Madhya Pradesh,Indore,O3,0.14959999999999998,0.775,Sentinel-5P TROPOMI L3 O3
2023-10-03,23.259,77.413,Madhya Pradesh,Bhopal,O3,0.1528,0.775,Sentinel-5P TROPOMI L3 O3
2023-10-04,28.647,77.315,Delhi,Delhi,O3,0.14959999999999998,0.8,Sentinel-5P TROPOMI L3 O3
2023-10-04,19.055,72.842,Maharashtra,Mumbai,O3,0.15,0.8,Sentinel-5P TROPOMI L3 O3
2023-10-04,13.035,77.598,Karnataka,Bengaluru,O3,0.15,0.8,Sentinel-5P TROPOMI L3 O3
2023-10-04,22.544,88.342,West Bengal,Kolkata,O3,0.1488,0.8,Sentinel-5P TROPOMI L3 O3
2023-10-04,13.165,80.263,Tamil Nadu,Chennai,O3,0.15039999999999998,0.8,Sentinel-5P TROPOMI L3 O3
2023-10-04,17.456,78.441,Telangana,Hyderabad,O3,0.15039999999999998,0.8,Sentinel-5P TROPOMI L3 O3
2023-10-04,25.611,85.093,Bihar,Patna,O3,0.154,0.8,Sentinel-5P TROPOMI L3 O3
2023-10-04,18.531,73.849,Maharashtra,Pune,O3,0.15,0.8,Sentinel-5P TROPOMI L3 O3
2023-10-04,30.733,76.789,Chandigarh,Chandigarh,O3,0.154,0.8,Sentinel-5P TROPOMI L3 O3
2023-10-04,26.847,80.947,Uttar Pradesh,Lucknow,O3,0.1556,0.8,Sentinel-5P TROPOMI L3 O3
2023-10-04,22.719,75.857,Madhya Pradesh,Indore,O3,0.15039999999999998,0.8,Sentinel-5P TROPOMI L3 O3
