date,latitude,longitude,state,district,pollutant,value,qa_value,satellite_source
2023-12-01,28.647,77.315,Delhi,Delhi,SO2,0.00038799999999999994,0.775,Sentinel-5P TROPOMI L3 SO2
2023-12-01,19.055,72.842,Maharashtra,Mumbai,SO2,0.000392,0.775,Sentinel-5P TROPOMI L3 SO2
2023-12-01,13.035,77.598,Karnataka,Bengaluru,SO2,0.000392,0.775,Sentinel-5P TROPOMI L3 SO2
2023-12-01,22.544,88.342,West Bengal,Kolkata,SO2,0.00037999999999999997,0.775,Sentinel-5P TROPOMI L3 SO2
2023-12-01,13.165,80.263,Tamil Nadu,Chennai,SO2,0.000396,0.775,Sentinel-5P TROPOMI L3 SO2
2023-12-01,17.456,78.441,Telangana,Hyderabad,SO2,0.000396,0.775,Sentinel-5P TROPOMI L3 SO2
2023-12-01,25.611,85.093,Bihar,Patna,SO2,0.000432,0.775,Sentinel-5P TROPOMI L3 SO2
2023-12-01,18.531,73.849,Maharashtra,Pune,SO2,0.000392,0.775,Sentinel-5P TROPOMI L3 SO2
2023-12-01,30.733,76.789,Chandigarh,Chandigarh,SO2,0.000432,0.775,Sentinel-5P TROPOMI L3 SO2
2023-12-01,26.847,80.947,Uttar Pradesh,Lucknow,SO2,0.000448,0.775,Sentinel-5P TROPOMI L3 SO2
2023-12-01,22.719,75.857,Madhya Pradesh,Indore,SO2,0.000396,0.775,Sentinel-5P TROPOMI L3 SO2
2023-12-01,23.259,77.413,Madhya Pradesh,Bhopal,SO2,0.000428,0.775,Sentinel-5P TROPOMI L3 SO2
2023-12-02,28.647,77.315,Delhi,Delhi,SO2,0.000396,0.8,Sentinel-5P TROPOMI L3 SO2
2023-12-02,19.055,72.842,Maharashtra,Mumbai,SO2,0.0004,0.8,Sentinel-5P TROPOMI L3 SO2
2023-12-02,13.035,77.598,Karnataka,Bengaluru,SO2,0.0004,0.8,Sentinel-5P TROPOMI L3 SO2
2023-12-02,22.544,88.342,West Bengal,Kolkata,SO2,0.000388,0.8,Sentinel-5P TROPOMI L3 SO2
2023-12-02,13.165,80.263,Tamil Nadu,Chennai,SO2,0.000404,0.8,Sentinel-5P TROPOMI L3 SO2
2023-12-02,17.456,78.441,Telangana,Hyderabad,SO2,0.000404,0.8,Sentinel-5P TROPOMI L3 SO2
